FIPS,Location,County,State,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
12035,"Flagler County, Florida",Flagler,Florida,42.3,39.5,0.98,-37.35,5.14,95.06
12037,"Franklin County, Florida",Franklin,Florida,76.4,63.88,1.26,-37.75,5.9,83.37
12039,"Gadsden County, Florida",Gadsden,Florida,55.8,33.82,2.13,-40.11,8.02,95.31
12041,"Gilchrist County, Florida",Gilchrist,Florida,74.8,26.22,1.04,-48.55,8.08,103.57
12043,"Glades County, Florida",Glades,Florida,44.1,15.02,0.75,-56.75,3.83,43.42
12045,"Gulf County, Florida",Gulf,Florida,80.7,66.64,1.2,-39.74,4.57,62.26
12047,"Hamilton County, Florida",Hamilton,Florida,77.5,49.65,1.89,-36.63,7.13,92.08
12049,"Hardee County, Florida",Hardee,Florida,62.7,48.27,0.89,-44.09,5.05,52.6
12051,"Hendry County, Florida",Hendry,Florida,59.1,33.23,0.97,-52.20,4.09,44.9
12053,"Hernando County, Florida",Hernando,Florida,64.1,104.82,0.6,-50.09,4.83,65.06
12055,"Highlands County, Florida",Highlands,Florida,61.6,82.25,0.9,-42.26,4.31,60.45
12057,"Hillsborough County, Florida",Hillsborough,Florida,52.9,3.28,1.04,-46.25,4.44,47.7
12059,"Holmes County, Florida",Holmes,Florida,101,85.75,1.16,-21.52,6.57,96.58
12061,"Indian River County, Florida",Indian River,Florida,41.1,25.2,0.7,-53.91,5.15,65.3
12063,"Jackson County, Florida",Jackson,Florida,66.2,50.78,1.42,-32.81,7.5,101.25
12065,"Jefferson County, Florida",Jefferson,Florida,55.6,31.36,1.7,-48.72,6.28,92.07
12067,"Lafayette County, Florida",Lafayette,Florida,79.8,38.71,1.12,-32.88,7.84,119.63
12069,"Lake County, Florida",Lake,Florida,46,28.43,0.66,-55.73,4.97,81.66
12071,"Lee County, Florida",Lee,Florida,40.1,23.88,0.56,-53.69,4.62,55.99
12073,"Leon County, Florida",Leon,Florida,47.9,5.81,1.36,-33.31,7.15,110.87
12075,"Levy County, Florida",Levy,Florida,75.8,67.08,1.03,-47.94,6.08,86.54
12077,"Liberty County, Florida",Liberty,Florida,91.9,56.02,1.26,-30.73,6.35,94.23
12079,"Madison County, Florida",Madison,Florida,61.3,41.37,1.65,-39.69,7.24,100.64
12081,"Manatee County, Florida",Manatee,Florida,40,1.84,0.66,-52.87,4.27,43.52
12083,"Marion County, Florida",Marion,Florida,57.7,45.01,1.1,-41.49,4.89,78.2
12085,"Martin County, Florida",Martin,Florida,45.6,43.71,0.57,-54.83,4.24,57.2
12086,"Miami-Dade County, Florida",Miami-Dade,Florida,33.6,3.33,0.98,-49.41,4.23,86.53
12087,"Monroe County, Florida",Monroe,Florida,39.1,-0.94,0.79,-61.58,4.48,63.56
12089,"Nassau County, Florida",Nassau,Florida,70,27.4,1.03,-32.56,6.77,98.71
12091,"Okaloosa County, Florida",Okaloosa,Florida,71.1,71.83,0.67,-39.11,5.74,111.37
12093,"Okeechobee County, Florida",Okeechobee,Florida,76.5,49.18,0.82,-46.39,4.41,53.1
12095,"Orange County, Florida",Orange,Florida,45.4,-11.71,0.98,-43.32,5.46,81.12
12097,"Osceola County, Florida",Osceola,Florida,52,11.39,0.86,-43.18,4.38,74.28
12099,"Palm Beach County, Florida",Palm Beach,Florida,32.7,11.39,0.72,-53.88,3.37,55.55
12101,"Pasco County, Florida",Pasco,Florida,65.6,85.49,0.85,-45.82,4.45,52.82
12103,"Pinellas County, Florida",Pinellas,Florida,48.4,29.39,0.83,-46.64,4.33,54.62
12105,"Polk County, Florida",Polk,Florida,55.8,34.55,0.96,-42.67,5.43,66.45
12107,"Putnam County, Florida",Putnam,Florida,86.9,77.23,1.42,-30.66,5.5,81.29
12109,"Saint Johns County, Florida",Saint Johns,Florida,48.7,7.03,0.8,-54.66,4.71,61.45
12111,"Saint Lucie County, Florida",Saint Lucie,Florida,52.6,61.7,0.88,-41.04,4.5,63.99
12113,"Santa Rosa County, Florida",Santa Rosa,Florida,74.3,79.33,0.89,-41.58,6.39,116.93
12115,"Sarasota County, Florida",Sarasota,Florida,36,6.64,0.65,-50.14,4.52,38.67
12117,"Seminole County, Florida",Seminole,Florida,49.5,14.15,0.82,-48.85,5.24,89.97
12119,"Sumter County, Florida",Sumter,Florida,31.3,-17.61,0.58,-67.17,4.1,44.81
12121,"Suwannee County, Florida",Suwannee,Florida,84.4,60.81,1.27,-41.39,7.48,110.25
12123,"Taylor County, Florida",Taylor,Florida,75.4,44.94,1.08,-42.64,7.62,99.19
12125,"Union County, Florida",Union,Florida,103,25.73,1.64,-44.42,9.13,81.27
12127,"Volusia County, Florida",Volusia,Florida,63.7,61.74,1.1,-33.05,4.98,77.12
12129,"Wakulla County, Florida",Wakulla,Florida,78.4,55.85,1.36,-38.63,7.18,100.23
12131,"Walton County, Florida",Walton,Florida,65.9,75.42,0.85,-39.43,5.33,93.72
12133,"Washington County, Florida",Washington,Florida,86.2,90.72,1.19,-31.85,6.85,104.77
13001,"Appling County, Georgia",Appling,Georgia,98,94.31,1.43,-25.22,7.38,120.92
13003,"Atkinson County, Georgia",Atkinson,Georgia,116,81.06,1.84,-36.80,8.79,117.65
13005,"Bacon County, Georgia",Bacon,Georgia,89.5,94.43,1.57,-15.53,7.85,143.87
13007,"Baker County, Georgia",Baker,Georgia,52.4,37.06,1.46,-47.15,5.82,72.9
13009,"Baldwin County, Georgia",Baldwin,Georgia,77.4,78.36,1.79,-18.59,5.32,100.96
13011,"Banks County, Georgia",Banks,Georgia,70.4,93.93,1.04,-49.07,5.15,121.35
13013,"Barrow County, Georgia",Barrow,Georgia,95.9,95.37,1.2,-48.05,7.1,125.85
13015,"Bartow County, Georgia",Bartow,Georgia,80.7,72.36,1.15,-42.36,7.61,129.78
13017,"Ben Hill County, Georgia",Ben Hill,Georgia,87.5,99.55,2.06,-14.71,6.74,116.66
13019,"Berrien County, Georgia",Berrien,Georgia,107,85.97,1.54,-21.40,7.56,117.13
13021,"Bibb County, Georgia",Bibb,Georgia,72,71.58,2.32,-13.65,7.8,114.46
13023,"Bleckley County, Georgia",Bleckley,Georgia,95.5,123.19,1.66,-10.14,7.75,141.79
13025,"Brantley County, Georgia",Brantley,Georgia,114,81.72,1.25,-24.56,7.68,114.32
13027,"Brooks County, Georgia",Brooks,Georgia,68,55.17,1.77,-43.89,6.95,92.76
13029,"Bryan County, Georgia",Bryan,Georgia,97.4,63.69,1.2,-45.47,7.75,100.14
13031,"Bulloch County, Georgia",Bulloch,Georgia,68.1,63.07,1.61,-29.16,6.93,115.97
13033,"Burke County, Georgia",Burke,Georgia,68.7,86.9,2.09,-28.23,6.62,114.2
13035,"Butts County, Georgia",Butts,Georgia,89.3,102.65,1.77,-46.28,5.84,92.82
13037,"Calhoun County, Georgia",Calhoun,Georgia,64.1,70.13,2.18,-27.41,6.57,105.12
13039,"Camden County, Georgia",Camden,Georgia,72.5,34.16,1.09,-49.28,6.96,75.42
13043,"Candler County, Georgia",Candler,Georgia,80.9,112.13,1.73,-30.12,7.16,126.72
13045,"Carroll County, Georgia",Carroll,Georgia,80,85.26,1.32,-36.17,5.58,117.01
13047,"Catoosa County, Georgia",Catoosa,Georgia,74.6,64.96,1.02,-40.09,6.21,146.92
13049,"Charlton County, Georgia",Charlton,Georgia,87.6,47.93,1.44,-27.55,6.29,90.76
13051,"Chatham County, Georgia",Chatham,Georgia,55.6,22.51,1.14,-43.04,6.14,78.93
13053,"Chattahoochee County, Georgia",Chattahoochee,Georgia,70.8,77.29,0.93,-54.52,5.47,80.45
13055,"Chattooga County, Georgia",Chattooga,Georgia,84.9,97.08,1.23,-26.37,5.52,110.74
13057,"Cherokee County, Georgia",Cherokee,Georgia,56.5,12.21,0.78,-51.75,5.15,96.64
13059,"Clarke County, Georgia",Clarke,Georgia,53.7,48.36,1.65,-37.43,6.54,122.61
13061,"Clay County, Georgia",Clay,Georgia,52,47.38,2.25,-35.45,6.66,101.44
13063,"Clayton County, Georgia",Clayton,Georgia,57.6,-0.21,1.75,4.46 (,6.13,127.94
13065,"Clinch County, Georgia",Clinch,Georgia,87.5,46.08,1.79,-26.59,7.87,106.06
13067,"Cobb County, Georgia",Cobb,Georgia,46.8,-2.55,0.81,-42.14,5.77,107.76
13069,"Coffee County, Georgia",Coffee,Georgia,95,107.85,2.03,-15.07,9.25,136.93
13071,"Colquitt County, Georgia",Colquitt,Georgia,83.3,86.96,2.35,-18.11,8.91,118.4
13073,"Columbia County, Georgia",Columbia,Georgia,51.5,9.95,0.78,-50.17,6.15,80.34
13075,"Cook County, Georgia",Cook,Georgia,93,90.57,2.09,-20.73,6.93,108.84
13077,"Coweta County, Georgia",Coweta,Georgia,68.5,50.77,1.16,-52.15,6.54,105.26
13079,"Crawford County, Georgia",Crawford,Georgia,60.1,44.53,1.12,-52.58,5.91,83.91
13081,"Crisp County, Georgia",Crisp,Georgia,63.7,46.16,2.14,-26.27,5.94,87.33
13083,"Dade County, Georgia",Dade,Georgia,76,81.24,1.02,-35.34,5.49,118.25
13085,"Dawson County, Georgia",Dawson,Georgia,59.8,25.02,0.87,-55.16,4.8,89.48
13087,"Decatur County, Georgia",Decatur,Georgia,75.6,59.37,1.79,-25.17,7.31,95.94
13089,"DeKalb County, Georgia",DeKalb,Georgia,37.6,-3.66,1.32,-36.72,5.72,121.84
13091,"Dodge County, Georgia",Dodge,Georgia,84.3,60.09,1.93,-20.44,6.8,110.75
13093,"Dooly County, Georgia",Dooly,Georgia,57.4,20.16,1.99,-38.22,6.32,97.51
13095,"Dougherty County, Georgia",Dougherty,Georgia,66.8,50.64,2.6,-2.57,7.89,113.58
13097,"Douglas County, Georgia",Douglas,Georgia,62.2,30.31,1.15,-19.60,6.1,122.06
13099,"Early County, Georgia",Early,Georgia,58.1,62.12,1.93,-18.19,6.85,112.66
13101,"Echols County, Georgia",Echols,Georgia,81.6,53.29,1.16,-38.56,6.06,90.7
13103,"Effingham County, Georgia",Effingham,Georgia,78.8,80.81,1.08,-32.96,6.75,114.51
13105,"Elbert County, Georgia",Elbert,Georgia,71.4,67.21,1.79,-33.40,7.51,120.68
13107,"Emanuel County, Georgia",Emanuel,Georgia,87.8,110.5,1.89,-17.38,7.78,123.44
13109,"Evans County, Georgia",Evans,Georgia,75.7,79.62,1.83,-25.43,9.52,149.53
13111,"Fannin County, Georgia",Fannin,Georgia,74.8,91.97,1.05,-47.85,4.94,108.78
13113,"Fayette County, Georgia",Fayette,Georgia,45.4,-2.39,0.68,-45.88,5.74,104.91
13115,"Floyd County, Georgia",Floyd,Georgia,66.7,69.45,0.99,-40.47,6.8,117.15
13117,"Forsyth County, Georgia",Forsyth,Georgia,51.4,-0.65,0.64,-61.44,5.18,99.66
13119,"Franklin County, Georgia",Franklin,Georgia,81.5,99.84,1.68,-47.45,5.27,111.5
13121,"Fulton County, Georgia",Fulton,Georgia,40.6,-6.69,1.47,-63.60,5.16,67.73
13123,"Gilmer County, Georgia",Gilmer,Georgia,64.3,56.79,0.96,-48.93,5.19,109.46
13125,"Glascock County, Georgia",Glascock,Georgia,71.6,79.09,1.48,-17.78,5.97,134.19
13127,"Glynn County, Georgia",Glynn,Georgia,73.6,58.48,1.42,-27.96,8,106.35
13129,"Gordon County, Georgia",Gordon,Georgia,75.6,71.77,1.1,-41.39,6.88,125.1
13131,"Grady County, Georgia",Grady,Georgia,62.4,63.84,1.54,-31.10,6.75,106
13133,"Greene County, Georgia",Greene,Georgia,47.4,8.99,1.6,-57.23,5.4,77.57
13135,"Gwinnett County, Georgia",Gwinnett,Georgia,49.1,7.64,0.94,-36.75,6.07,128.61
13137,"Habersham County, Georgia",Habersham,Georgia,68.3,109.26,1,-49.09,5.04,119.46
13139,"Hall County, Georgia",Hall,Georgia,61.3,39.21,1.09,-50.44,5.68,115.56
13141,"Hancock County, Georgia",Hancock,Georgia,54.4,33.6,2.49,-42.21,5.67,88.85
13143,"Haralson County, Georgia",Haralson,Georgia,91.8,119.45,1.02,-36.37,6.78,129.76
13145,"Harris County, Georgia",Harris,Georgia,51.5,34.96,0.74,-62.62,5.57,72.62
13147,"Hart County, Georgia",Hart,Georgia,67.2,71.06,1.42,-45.13,6.07,114.33
13149,"Heard County, Georgia",Heard,Georgia,93.2,126.29,1.08,-42.27,5.32,104.12
13151,"Henry County, Georgia",Henry,Georgia,69.4,18.01,1.22,-40.76,7.91,121.99
13153,"Houston County, Georgia",Houston,Georgia,59.5,26.83,1.18,-27.79,6.31,115.86
13155,"Irwin County, Georgia",Irwin,Georgia,79.2,72.49,1.61,-29.86,6.92,109.65
13157,"Jackson County, Georgia",Jackson,Georgia,79.5,94.53,1.04,-49.08,5.35,111.2
13159,"Jasper County, Georgia",Jasper,Georgia,61.3,63.27,1.34,-51.54,5.5,90.7
13161,"Jeff Davis County, Georgia",Jeff Davis,Georgia,98,104.3,1.41,-19.37,6.83,115.46
13163,"Jefferson County, Georgia",Jefferson,Georgia,61.2,72.7,3.14,-13.57,7.05,131.4
13165,"Jenkins County, Georgia",Jenkins,Georgia,83.4,44.9,2.73,-29.17,6.6,92.86
13167,"Johnson County, Georgia",Johnson,Georgia,73.5,92.39,1.88,-15.36,6.98,133.37
13169,"Jones County, Georgia",Jones,Georgia,74.3,67.2,1.31,-37.23,5.12,82.53
13171,"Lamar County, Georgia",Lamar,Georgia,81.4,93.66,1.4,-39.89,6.21,109.8
13173,"Lanier County, Georgia",Lanier,Georgia,85.5,61.93,1.7,-31.44,7.26,98.62
13175,"Laurens County, Georgia",Laurens,Georgia,77.8,85.45,1.75,-25.17,6.64,101.91
13177,"Lee County, Georgia",Lee,Georgia,71.7,80.96,1.3,-29.83,6.46,111.13
13179,"Liberty County, Georgia",Liberty,Georgia,71.7,50.49,1.65,-28.35,8.65,120.94
13181,"Lincoln County, Georgia",Lincoln,Georgia,63.9,44.13,1.83,-37.80,6.2,94.89
13183,"Long County, Georgia",Long,Georgia,76.7,22.45,1.27,-42.02,6.8,88.94
13185,"Lowndes County, Georgia",Lowndes,Georgia,75.5,48.39,1.83,-30.83,8.26,109.63
13187,"Lumpkin County, Georgia",Lumpkin,Georgia,82.4,91.95,0.92,-47.44,5.01,113.55
13189,"McDuffie County, Georgia",McDuffie,Georgia,68.9,60.9,2.05,-19.98,6.39,103.88
13191,"McIntosh County, Georgia",McIntosh,Georgia,63.1,22.7,1.36,-51.30,6.37,70.75
13193,"Macon County, Georgia",Macon,Georgia,60.7,37.46,2.39,-26.37,6.84,122.59
13195,"Madison County, Georgia",Madison,Georgia,93.7,111.51,1.22,-42.78,6.98,133.62
13197,"Marion County, Georgia",Marion,Georgia,71.8,44.54,1.59,-52.66,5.79,78.96
13199,"Meriwether County, Georgia",Meriwether,Georgia,56.5,79.14,1.38,-43.86,5.17,94.58
13201,"Miller County, Georgia",Miller,Georgia,66.2,64.28,1.54,-24.74,6.36,99.09
13205,"Mitchell County, Georgia",Mitchell,Georgia,58.7,52.2,1.96,-31.80,6.21,88.99
13207,"Monroe County, Georgia",Monroe,Georgia,52.7,36.69,1.23,-53.92,5.45,77.15
13209,"Montgomery County, Georgia",Montgomery,Georgia,83.7,79.94,1.39,-36.79,6.82,100.7
13211,"Morgan County, Georgia",Morgan,Georgia,49.9,35.63,1.16,-56.06,5.54,85.69
13213,"Murray County, Georgia",Murray,Georgia,98,86.36,1.13,-41.39,7.19,128.07
13215,"Muscogee County, Georgia",Muscogee,Georgia,70,47.41,1.78,-30.52,7.64,115.97
13217,"Newton County, Georgia",Newton,Georgia,69.9,64.16,1.45,-33.90,7.01,112.36
13219,"Oconee County, Georgia",Oconee,Georgia,51.6,32.2,0.72,-53.78,5.94,115.72
13221,"Oglethorpe County, Georgia",Oglethorpe,Georgia,58.6,36.87,1.23,-54.31,5.62,92.44
13223,"Paulding County, Georgia",Paulding,Georgia,65.9,35.8,0.88,-44.63,6.26,116.7
