county,lung_cancer_per_100000,allpower_potential_state,Both_Chronic respiratory diseases,state,plant,lifetime_co2
Niobrara,NA,12218862,65.5729353417267,WY,NA,NA
Park,31,12218862,53.2747229955919,WY,NA,NA
Platte,27.4,12218862,70.1591692197005,WY,Laramie River Station,14
Sheridan,41.3,12218862,75.1260258138309,WY,NA,NA
Sublette,NA,12218862,65.6207231918044,WY,NA,NA
Sweetwater,45.4,12218862,78.0125209126731,WY,Jim Bridger Steam Plant,48
Teton,20.9,12218862,36.0902602031899,WY,NA,NA
Uinta,34,12218862,81.5054687151594,WY,NA,NA
Washakie,34.9,12218862,59.3551704414526,WY,NA,NA
Weston,65.1,12218862,81.6837959670267,WY,NA,NA
