"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Lung/Bronchus Cancer Rate","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","r_l_allr_u_alla","TimeFrame","GeoVintage","Source","Location"
"County","King William","VA","51101","=""51101""","57.5","2014-2018","2010","CDC","Virginia (State)"
"County","Lancaster","VA","51103","=""51103""","73.4","2014-2018","2010","CDC","Virginia (State)"
"County","Lee","VA","51105","=""51105""","55.4","2014-2018","2010","CDC","Virginia (State)"
"County","Loudoun","VA","51107","=""51107""","34.7","2014-2018","2010","CDC","Virginia (State)"
"County","Louisa","VA","51109","=""51109""","74.8","2014-2018","2010","CDC","Virginia (State)"
"County","Lunenburg","VA","51111","=""51111""","73.8","2014-2018","2010","CDC","Virginia (State)"
"County","Madison","VA","51113","=""51113""","61.9","2014-2018","2010","CDC","Virginia (State)"
"County","Mathews","VA","51115","=""51115""","56.9","2014-2018","2010","CDC","Virginia (State)"
"County","Mecklenburg","VA","51117","=""51117""","73.1","2014-2018","2010","CDC","Virginia (State)"
"County","Middlesex","VA","51119","=""51119""","58.3","2014-2018","2010","CDC","Virginia (State)"
"County","Montgomery","VA","51121","=""51121""","52.2","2014-2018","2010","CDC","Virginia (State)"
"County","Nelson","VA","51125","=""51125""","68.5","2014-2018","2010","CDC","Virginia (State)"
"County","New Kent","VA","51127","=""51127""","71.1","2014-2018","2010","CDC","Virginia (State)"
"County","Northampton","VA","51131","=""51131""","75.3","2014-2018","2010","CDC","Virginia (State)"
