usa_lung_cancer
County,State,GeoID,lung_cancer_per_100000,TimeFrame
Mariposa,CA,6043,39.5,2014-2018
Mendocino,CA,6045,45.6,2014-2018
Merced,CA,6047,45.4,2014-2018
Modoc,CA,6049,37.8,2014-2018
Mono,CA,6051,25.0,2014-2018
Monterey,CA,6053,34.9,2014-2018
Napa,CA,6055,41.9,2014-2018
Nevada,CA,6057,37.3,2014-2018
Orange,CA,6059,38.3,2014-2018
Placer,CA,6061,42.0,2014-2018
Plumas,CA,6063,47.7,2014-2018
Riverside,CA,6065,41.8,2014-2018
Sacramento,CA,6067,50.7,2014-2018
San Benito,CA,6069,39.1,2014-2018
San Bernardino,CA,6071,41.0,2014-2018
San Diego,CA,6073,41.5,2014-2018
San Francisco,CA,6075,43.8,2014-2018
San Joaquin,CA,6077,47.7,2014-2018
San Luis Obispo,CA,6079,43.3,2014-2018
San Mateo,CA,6081,38.3,2014-2018
Santa Barbara,CA,6083,37.7,2014-2018
Santa Clara,CA,6085,36.9,2014-2018
Santa Cruz,CA,6087,35.5,2014-2018
Shasta,CA,6089,59.2,2014-2018
Sierra,CA,6091,NA,2014-2018
Siskiyou,CA,6093,48.4,2014-2018
Solano,CA,6095,49.2,2014-2018
Sonoma,CA,6097,40.8,2014-2018
Stanislaus,CA,6099,48.2,2014-2018
Sutter,CA,6101,52.7,2014-2018
Tehama,CA,6103,59.0,2014-2018
Trinity,CA,6105,58.9,2014-2018
Tulare,CA,6107,36.4,2014-2018
Tuolumne,CA,6109,48.0,2014-2018
Ventura,CA,6111,39.3,2014-2018
Yolo,CA,6113,44.4,2014-2018
Yuba,CA,6115,68.1,2014-2018
Adams,CO,8001,51.3,2014-2018
Alamosa,CO,8003,27.6,2014-2018
Arapahoe,CO,8005,43.4,2014-2018
Archuleta,CO,8007,29.2,2014-2018
Baca,CO,8009,45.2,2014-2018
Bent,CO,8011,45.1,2014-2018
Boulder,CO,8013,29.6,2014-2018
Broomfield,CO,8014,37.7,2014-2018
Chaffee,CO,8015,27.6,2014-2018
Cheyenne,CO,8017,NA,2014-2018
Clear Creek,CO,8019,28.3,2014-2018
Conejos,CO,8021,NA,2014-2018
Costilla,CO,8023,NA,2014-2018
Crowley,CO,8025,NA,2014-2018
Custer,CO,8027,NA,2014-2018
Delta,CO,8029,44.5,2014-2018
Denver,CO,8031,40.9,2014-2018
Dolores,CO,8033,NA,2014-2018
Douglas,CO,8035,34.2,2014-2018
Eagle,CO,8037,22.0,2014-2018
Elbert,CO,8039,42.0,2014-2018
El Paso,CO,8041,41.6,2014-2018
Fremont,CO,8043,49.8,2014-2018
Garfield,CO,8045,52.0,2014-2018
Gilpin,CO,8047,NA,2014-2018
Grand,CO,8049,21.5,2014-2018
Gunnison,CO,8051,21.1,2014-2018
Hinsdale,CO,8053,NA,2014-2018
Huerfano,CO,8055,28.2,2014-2018
Jackson,CO,8057,NA,2014-2018
Jefferson,CO,8059,41.9,2014-2018
Kiowa,CO,8061,NA,2014-2018
Kit Carson,CO,8063,43.2,2014-2018
Lake,CO,8065,NA,2014-2018
La Plata,CO,8067,22.6,2014-2018
Larimer,CO,8069,34.4,2014-2018
Las Animas,CO,8071,38.8,2014-2018
Lincoln,CO,8073,68.8,2014-2018
Logan,CO,8075,40.4,2014-2018
Mesa,CO,8077,52.6,2014-2018
Mineral,CO,8079,NA,2014-2018
Moffat,CO,8081,43.0,2014-2018
Montezuma,CO,8083,35.3,2014-2018
Montrose,CO,8085,41.3,2014-2018
Morgan,CO,8087,44.6,2014-2018
Otero,CO,8089,34.2,2014-2018
Ouray,CO,8091,NA,2014-2018
Park,CO,8093,33.8,2014-2018
Phillips,CO,8095,48.3,2014-2018
Pitkin,CO,8097,22.8,2014-2018
Prowers,CO,8099,63.7,2014-2018
Pueblo,CO,8101,47.6,2014-2018
Rio Blanco,CO,8103,NA,2014-2018
Rio Grande,CO,8105,29.8,2014-2018
Routt,CO,8107,29.1,2014-2018
Saguache,CO,8109,NA,2014-2018
San Juan,CO,8111,NA,2014-2018
San Miguel,CO,8113,NA,2014-2018
Sedgwick,CO,8115,NA,2014-2018
Summit,CO,8117,17.0,2014-2018
Teller,CO,8119,36.4,2014-2018
Washington,CO,8121,NA,2014-2018
Weld,CO,8123,45.3,2014-2018
Yuma,CO,8125,30.7,2014-2018
Fairfield,CT,9001,50.3,2014-2018
Hartford,CT,9003,56.7,2014-2018
Litchfield,CT,9005,59.8,2014-2018
Middlesex,CT,9007,60.1,2014-2018
New Haven,CT,9009,62.4,2014-2018
New London,CT,9011,63.1,2014-2018
Tolland,CT,9013,51.0,2014-2018
Windham,CT,9015,76.9,2014-2018
Kent,DE,10001,73.2,2014-2018
New Castle,DE,10003,61.4,2014-2018
Sussex,DE,10005,65.9,2014-2018
District of Columbia,DC,11001,44.9,2014-2018
Alachua,FL,12001,58.0,2014-2018
Baker,FL,12003,69.5,2014-2018
Bay,FL,12005,73.3,2014-2018
Bradford,FL,12007,80.0,2014-2018
Brevard,FL,12009,68.1,2014-2018
Broward,FL,12011,46.9,2014-2018
Calhoun,FL,12013,92.6,2014-2018
Charlotte,FL,12015,61.7,2014-2018
Citrus,FL,12017,74.3,2014-2018
Clay,FL,12019,74.8,2014-2018
Collier,FL,12021,34.5,2014-2018
Columbia,FL,12023,88.9,2014-2018
DeSoto,FL,12027,60.8,2014-2018
Dixie,FL,12029,89.3,2014-2018
Duval,FL,12031,71.8,2014-2018
Escambia,FL,12033,77.6,2014-2018
Flagler,FL,12035,61.4,2014-2018
Franklin,FL,12037,71.5,2014-2018
Gadsden,FL,12039,62.1,2014-2018
Gilchrist,FL,12041,72.6,2014-2018
Glades,FL,12043,50.3,2014-2018
Gulf,FL,12045,63.8,2014-2018
Hamilton,FL,12047,72.8,2014-2018
Hardee,FL,12049,68.8,2014-2018
Hendry,FL,12051,52.5,2014-2018
Hernando,FL,12053,76.4,2014-2018
Highlands,FL,12055,64.9,2014-2018
Hillsborough,FL,12057,58.9,2014-2018
Holmes,FL,12059,55.2,2014-2018
Indian River,FL,12061,67.2,2014-2018
Jackson,FL,12063,61.4,2014-2018
Jefferson,FL,12065,50.4,2014-2018
Lafayette,FL,12067,87.8,2014-2018
Lake,FL,12069,63.5,2014-2018
Lee,FL,12071,51.7,2014-2018
Leon,FL,12073,48.7,2014-2018
Levy,FL,12075,90.2,2014-2018
Liberty,FL,12077,82.3,2014-2018
Madison,FL,12079,57.5,2014-2018
Manatee,FL,12081,51.8,2014-2018
Marion,FL,12083,71.2,2014-2018
Martin,FL,12085,52.8,2014-2018
Miami-Dade,FL,12086,42.6,2014-2018
Monroe,FL,12087,50.7,2014-2018
Nassau,FL,12089,74.6,2014-2018
Okaloosa,FL,12091,65.8,2014-2018
Okeechobee,FL,12093,79.9,2014-2018
Orange,FL,12095,48.6,2014-2018
Osceola,FL,12097,50.7,2014-2018
Palm Beach,FL,12099,48.3,2014-2018
Pasco,FL,12101,72.4,2014-2018
Pinellas,FL,12103,63.1,2014-2018
Polk,FL,12105,64.8,2014-2018
Putnam,FL,12107,90.8,2014-2018
St. Johns,FL,12109,59.8,2014-2018
St. Lucie,FL,12111,58.9,2014-2018
Santa Rosa,FL,12113,67.9,2014-2018
Sarasota,FL,12115,55.3,2014-2018
Seminole,FL,12117,54.2,2014-2018
Sumter,FL,12119,55.8,2014-2018
Suwannee,FL,12121,84.7,2014-2018
Taylor,FL,12123,78.9,2014-2018
Union,FL,12125,199.4,2014-2018
Volusia,FL,12127,70.4,2014-2018
Wakulla,FL,12129,70.5,2014-2018
Walton,FL,12131,61.6,2014-2018
Washington,FL,12133,70.3,2014-2018
Appling,GA,13001,67.8,2014-2018
Atkinson,GA,13003,66.8,2014-2018
Bacon,GA,13005,59.5,2014-2018
Baker,GA,13007,NA,2014-2018
Baldwin,GA,13009,75.7,2014-2018
Banks,GA,13011,63.5,2014-2018
Barrow,GA,13013,83.0,2014-2018
Bartow,GA,13015,78.0,2014-2018
Ben Hill,GA,13017,69.6,2014-2018
Berrien,GA,13019,80.4,2014-2018
Bibb,GA,13021,68.3,2014-2018
Bleckley,GA,13023,75.4,2014-2018
Brantley,GA,13025,89.2,2014-2018
Brooks,GA,13027,70.8,2014-2018
Bryan,GA,13029,76.0,2014-2018
Bulloch,GA,13031,69.2,2014-2018
Burke,GA,13033,77.9,2014-2018
Butts,GA,13035,65.2,2014-2018
Calhoun,GA,13037,39.8,2014-2018
Camden,GA,13039,70.8,2014-2018
Candler,GA,13043,72.8,2014-2018
Carroll,GA,13045,80.2,2014-2018
Catoosa,GA,13047,63.7,2014-2018
Charlton,GA,13049,78.5,2014-2018
Chatham,GA,13051,58.0,2014-2018
Chattahoochee,GA,13053,88.4,2014-2018
Chattooga,GA,13055,83.5,2014-2018
Cherokee,GA,13057,58.2,2014-2018
Clarke,GA,13059,54.6,2014-2018
Clay,GA,13061,69.1,2014-2018
Clayton,GA,13063,59.9,2014-2018
Clinch,GA,13065,92.7,2014-2018
Cobb,GA,13067,51.2,2014-2018
Coffee,GA,13069,71.4,2014-2018
Colquitt,GA,13071,86.3,2014-2018
Columbia,GA,13073,55.0,2014-2018
Cook,GA,13075,79.1,2014-2018
Coweta,GA,13077,61.3,2014-2018
Crawford,GA,13079,101.0,2014-2018
Crisp,GA,13081,70.6,2014-2018
Dade,GA,13083,91.7,2014-2018
Dawson,GA,13085,61.9,2014-2018
Decatur,GA,13087,79.3,2014-2018
DeKalb,GA,13089,44.8,2014-2018
Dodge,GA,13091,79.1,2014-2018
Dooly,GA,13093,46.5,2014-2018
Dougherty,GA,13095,63.1,2014-2018
Douglas,GA,13097,57.5,2014-2018
Early,GA,13099,56.2,2014-2018
Echols,GA,13101,NA,2014-2018
Effingham,GA,13103,78.3,2014-2018
Elbert,GA,13105,72.3,2014-2018
Emanuel,GA,13107,86.8,2014-2018
Evans,GA,13109,70.5,2014-2018
Fannin,GA,13111,60.7,2014-2018
Fayette,GA,13113,43.2,2014-2018
Floyd,GA,13115,74.5,2014-2018
Forsyth,GA,13117,48.5,2014-2018
Franklin,GA,13119,89.6,2014-2018
Fulton,GA,13121,50.1,2014-2018
Gilmer,GA,13123,63.0,2014-2018
Glascock,GA,13125,92.1,2014-2018
Glynn,GA,13127,65.4,2014-2018
Gordon,GA,13129,88.0,2014-2018
Grady,GA,13131,65.2,2014-2018
Greene,GA,13133,51.9,2014-2018
Gwinnett,GA,13135,45.9,2014-2018
Habersham,GA,13137,69.6,2014-2018
Hall,GA,13139,61.9,2014-2018
Hancock,GA,13141,64.4,2014-2018
Haralson,GA,13143,93.1,2014-2018
Harris,GA,13145,53.6,2014-2018
Hart,GA,13147,52.2,2014-2018
Heard,GA,13149,84.5,2014-2018
Henry,GA,13151,54.7,2014-2018
Houston,GA,13153,65.7,2014-2018
Irwin,GA,13155,86.7,2014-2018
Jackson,GA,13157,73.1,2014-2018
Jasper,GA,13159,67.4,2014-2018
Jeff Davis,GA,13161,62.1,2014-2018
Jefferson,GA,13163,80.4,2014-2018
Jenkins,GA,13165,58.5,2014-2018
Johnson,GA,13167,62.6,2014-2018
Jones,GA,13169,71.7,2014-2018
Lamar,GA,13171,67.5,2014-2018
Lanier,GA,13173,79.9,2014-2018
Laurens,GA,13175,80.0,2014-2018
Lee,GA,13177,96.0,2014-2018
Liberty,GA,13179,74.8,2014-2018
Lincoln,GA,13181,68.9,2014-2018
Long,GA,13183,47.3,2014-2018
Lowndes,GA,13185,60.2,2014-2018
Lumpkin,GA,13187,72.0,2014-2018
McDuffie,GA,13189,71.8,2014-2018
McIntosh,GA,13191,64.3,2014-2018
Macon,GA,13193,56.7,2014-2018
Madison,GA,13195,79.6,2014-2018
Marion,GA,13197,69.7,2014-2018
Meriwether,GA,13199,63.0,2014-2018
Miller,GA,13201,78.1,2014-2018
Mitchell,GA,13205,79.2,2014-2018
Monroe,GA,13207,85.7,2014-2018
Montgomery,GA,13209,73.4,2014-2018
Morgan,GA,13211,56.0,2014-2018
Murray,GA,13213,84.2,2014-2018
Muscogee,GA,13215,64.8,2014-2018
Newton,GA,13217,68.0,2014-2018
Oconee,GA,13219,45.0,2014-2018
Oglethorpe,GA,13221,64.3,2014-2018
Paulding,GA,13223,74.6,2014-2018
Peach,GA,13225,65.4,2014-2018
Pickens,GA,13227,83.0,2014-2018
Pierce,GA,13229,96.9,2014-2018
Pike,GA,13231,63.2,2014-2018
Polk,GA,13233,99.4,2014-2018
Pulaski,GA,13235,60.9,2014-2018
Putnam,GA,13237,71.5,2014-2018
Quitman,GA,13239,83.1,2014-2018
Rabun,GA,13241,54.4,2014-2018
Randolph,GA,13243,68.9,2014-2018
Richmond,GA,13245,72.6,2014-2018
Rockdale,GA,13247,51.5,2014-2018
Schley,GA,13249,NA,2014-2018
Screven,GA,13251,72.9,2014-2018
Seminole,GA,13253,68.8,2014-2018
Spalding,GA,13255,74.0,2014-2018
Stephens,GA,13257,74.1,2014-2018
Stewart,GA,13259,56.7,2014-2018
Sumter,GA,13261,65.9,2014-2018
Talbot,GA,13263,57.5,2014-2018
Taliaferro,GA,13265,NA,2014-2018
Tattnall,GA,13267,65.0,2014-2018
Taylor,GA,13269,85.8,2014-2018
Telfair,GA,13271,55.0,2014-2018
Terrell,GA,13273,72.8,2014-2018
Thomas,GA,13275,77.0,2014-2018
Tift,GA,13277,80.3,2014-2018
Toombs,GA,13279,76.9,2014-2018
Towns,GA,13281,68.5,2014-2018
Treutlen,GA,13283,68.8,2014-2018
Troup,GA,13285,75.2,2014-2018
Turner,GA,13287,86.7,2014-2018
Twiggs,GA,13289,75.7,2014-2018
Union,GA,13291,58.0,2014-2018
Upson,GA,13293,75.5,2014-2018
Walker,GA,13295,76.1,2014-2018
Walton,GA,13297,68.1,2014-2018
Ware,GA,13299,79.7,2014-2018
Warren,GA,13301,79.5,2014-2018
Washington,GA,13303,71.0,2014-2018
Wayne,GA,13305,85.2,2014-2018
Webster,GA,13307,NA,2014-2018
Wheeler,GA,13309,52.1,2014-2018
White,GA,13311,70.0,2014-2018
Whitfield,GA,13313,65.3,2014-2018
Wilcox,GA,13315,71.2,2014-2018
Wilkes,GA,13317,57.3,2014-2018
Wilkinson,GA,13319,86.0,2014-2018
Worth,GA,13321,99.2,2014-2018
Hawaii,HI,15001,41.2,2014-2018
Honolulu,HI,15003,45.7,2014-2018
Kalawao,HI,15005,NA,2014-2018
Kauai,HI,15007,37.8,2014-2018
Maui,HI,15009,40.8,2014-2018
Ada,ID,16001,49.9,2014-2018
Adams,ID,16003,38.1,2014-2018
Bannock,ID,16005,36.5,2014-2018
Bear Lake,ID,16007,NA,2014-2018
Benewah,ID,16009,58.7,2014-2018
Bingham,ID,16011,35.2,2014-2018
Blaine,ID,16013,31.4,2014-2018
Boise,ID,16015,48.5,2014-2018
Bonner,ID,16017,51.9,2014-2018
Bonneville,ID,16019,36.3,2014-2018
Boundary,ID,16021,49.7,2014-2018
Butte,ID,16023,NA,2014-2018
Camas,ID,16025,NA,2014-2018
Canyon,ID,16027,54.5,2014-2018
Caribou,ID,16029,NA,2014-2018
Cassia,ID,16031,33.1,2014-2018
Clark,ID,16033,NA,2014-2018
Clearwater,ID,16035,70.5,2014-2018
Custer,ID,16037,39.0,2014-2018
Elmore,ID,16039,72.0,2014-2018
Franklin,ID,16041,NA,2014-2018
Fremont,ID,16043,43.0,2014-2018
Gem,ID,16045,51.2,2014-2018
Gooding,ID,16047,50.3,2014-2018
Idaho,ID,16049,43.1,2014-2018
Jefferson,ID,16051,34.7,2014-2018
Jerome,ID,16053,47.6,2014-2018
Kootenai,ID,16055,64.5,2014-2018
Latah,ID,16057,47.9,2014-2018
Lemhi,ID,16059,47.9,2014-2018
Lewis,ID,16061,70.7,2014-2018
Lincoln,ID,16063,NA,2014-2018
Madison,ID,16065,NA,2014-2018
Minidoka,ID,16067,34.9,2014-2018
Nez Perce,ID,16069,67.3,2014-2018
Oneida,ID,16071,NA,2014-2018
Owyhee,ID,16073,34.7,2014-2018
Payette,ID,16075,60.8,2014-2018
Power,ID,16077,34.5,2014-2018
Shoshone,ID,16079,80.5,2014-2018
Teton,ID,16081,NA,2014-2018
Twin Falls,ID,16083,48.3,2014-2018
Valley,ID,16085,25.5,2014-2018
Washington,ID,16087,50.9,2014-2018
Adams,IL,17001,70.3,2014-2018
Alexander,IL,17003,101.9,2014-2018
Bond,IL,17005,62.8,2014-2018
Boone,IL,17007,66.8,2014-2018
Brown,IL,17009,92.9,2014-2018
Bureau,IL,17011,78.3,2014-2018
Calhoun,IL,17013,45.3,2014-2018
Carroll,IL,17015,51.0,2014-2018
Cass,IL,17017,102.6,2014-2018
Champaign,IL,17019,50.4,2014-2018
Christian,IL,17021,102.8,2014-2018
Clark,IL,17023,74.2,2014-2018
Clay,IL,17025,94.9,2014-2018
Clinton,IL,17027,71.6,2014-2018
Coles,IL,17029,70.9,2014-2018
Cook,IL,17031,57.0,2014-2018
Crawford,IL,17033,77.1,2014-2018
Cumberland,IL,17035,60.5,2014-2018
DeKalb,IL,17037,65.4,2014-2018
De Witt,IL,17039,89.3,2014-2018
Douglas,IL,17041,66.3,2014-2018
DuPage,IL,17043,50.1,2014-2018
Edgar,IL,17045,72.8,2014-2018
Edwards,IL,17047,69.4,2014-2018
Effingham,IL,17049,60.0,2014-2018
Fayette,IL,17051,69.3,2014-2018
Ford,IL,17053,58.1,2014-2018
Franklin,IL,17055,100.7,2014-2018
Fulton,IL,17057,75.4,2014-2018
Gallatin,IL,17059,96.8,2014-2018
Greene,IL,17061,87.7,2014-2018
Grundy,IL,17063,73.3,2014-2018
Hamilton,IL,17065,72.8,2014-2018
Hancock,IL,17067,67.3,2014-2018
Hardin,IL,17069,118.3,2014-2018
Henderson,IL,17071,76.4,2014-2018
Henry,IL,17073,65.3,2014-2018
Iroquois,IL,17075,80.4,2014-2018
Jackson,IL,17077,74.0,2014-2018
Jasper,IL,17079,68.3,2014-2018
Jefferson,IL,17081,83.9,2014-2018
Jersey,IL,17083,75.3,2014-2018
Jo Daviess,IL,17085,61.4,2014-2018
Johnson,IL,17087,91.8,2014-2018
Kane,IL,17089,48.5,2014-2018
Kankakee,IL,17091,78.1,2014-2018
Kendall,IL,17093,59.7,2014-2018
Knox,IL,17095,74.9,2014-2018
Lake,IL,17097,54.0,2014-2018
LaSalle,IL,17099,82.2,2014-2018
Lawrence,IL,17101,78.1,2014-2018
Lee,IL,17103,70.7,2014-2018
Livingston,IL,17105,86.6,2014-2018
Logan,IL,17107,103.1,2014-2018
McDonough,IL,17109,75.7,2014-2018
McHenry,IL,17111,62.1,2014-2018
McLean,IL,17113,60.0,2014-2018
Macon,IL,17115,94.7,2014-2018
Macoupin,IL,17117,94.1,2014-2018
Madison,IL,17119,82.1,2014-2018
Marion,IL,17121,87.9,2014-2018
Marshall,IL,17123,82.8,2014-2018
