fips,location,county,state,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2_5,days_pm10,lat,long,distance_to_nearest_plant,name_of_nearest_plant,name,is_plant
1097,"Mobile County, Alabama",Mobile,Alabama,65.8,50.37,1.44,-35.08,7.39,121.66,2014,285,224,55,6,0,0,0,115,67,41,0,0,223,61,1,30.7872,-88.2058,30762.477779993744,Barry Steam Plant,NA,0
1099,"Monroe County, Alabama",Monroe,Alabama,64.7,73.47,1.26,-37.24,6.3,99.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5709,-87.3654,87564.63073656576,Barry Steam Plant,NA,0
11001,"District of Columbia, District of Columbia",District of Columbia,District of Columbia,30.2,-18.44,1.56,-62.04,5.14,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9047,-77.0163,51571.46463170681,Brandon Shores Generating Station,NA,0
1101,"Montgomery County, Alabama",Montgomery,Alabama,68,69.35,1.97,-8.19,6.7,127.91,2014,284,235,49,0,0,0,0,87,56,40,0,0,198,86,0,32.2203,-86.2076,115855.77898341122,Gaston Steam Plant,NA,0
1103,"Morgan County, Alabama",Morgan,Alabama,76.8,95.01,0.86,-33.51,4.86,116.88,2014,283,238,45,0,0,0,0,93,54,39,0,0,209,74,0,34.4535,-86.8529,92977.730901972,Miller Steam Plant,NA,0
1105,"Perry County, Alabama",Perry,Alabama,67.1,107.48,2.39,-15.32,6.03,140.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6385,-87.2944,102960.70442782344,Gaston Steam Plant,NA,0
1107,"Pickens County, Alabama",Pickens,Alabama,63.9,92.77,1.44,-26.29,6.03,121.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2808,-88.0887,103330.94553264456,Miller Steam Plant,NA,0
1109,"Pike County, Alabama",Pike,Alabama,72.7,86.72,1.81,-19.15,6.58,118.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8027,-85.9409,166991.0244851211,Gaston Steam Plant,NA,0
1111,"Randolph County, Alabama",Randolph,Alabama,73.3,110.32,1.24,-38.91,4.74,107.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2938,-85.4591,41715.47127478763,Wansley Plant,NA,0
1113,"Russell County, Alabama",Russell,Alabama,80.3,73.62,1.42,-36.96,5.95,81.33,2014,284,218,65,1,0,0,0,108,58,40,0,0,184,100,0,32.2884,-85.1849,125490.11598599576,Wansley Plant,NA,0
1115,"Saint Clair County, Alabama",St. Clair,Alabama,91.5,83.25,1.17,-30.63,5.11,110.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7157,-86.3146,54100.06680883007,Gaston Steam Plant,NA,0
1117,"Shelby County, Alabama",Shelby,Alabama,53.6,0.43,0.76,-45.07,5.44,102.66,2014,273,226,46,1,0,0,0,119,54,40,0,0,210,63,0,33.2643,-86.6607,18946.901718062716,Gaston Steam Plant,NA,0
1119,"Sumter County, Alabama",Sumter,Alabama,51.4,43.09,2.2,-30.78,5.27,94.56,2014,241,232,9,0,0,0,0,74,47,34,0,0,241,0,0,32.5911,-88.1988,129088.46988077366,Red Hills Generation Facility,NA,0
1121,"Talladega County, Alabama",Talladega,Alabama,89.6,119.85,1.54,-20.00,5.35,108.82,2014,108,86,22,0,0,0,0,79,56,37,0,0,0,108,0,33.3801,-86.1659,31230.16262844751,Gaston Steam Plant,NA,0
1123,"Tallapoosa County, Alabama",Tallapoosa,Alabama,83,101.74,1.14,-32.28,4.72,89.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8624,-85.7975,74830.21072173645,Gaston Steam Plant,NA,0
1125,"Tuscaloosa County, Alabama",Tuscaloosa,Alabama,71,74.6,1.2,-27.09,7.65,126.85,2014,280,251,29,0,0,0,0,93,52,36,0,0,190,90,0,33.2896,-87.5251,57646.985586407696,Miller Steam Plant,NA,0
1127,"Walker County, Alabama",Walker,Alabama,119,118.5,1.39,-12.94,7.07,132.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8033,-87.2973,28995.228212203525,Miller Steam Plant,NA,0
1129,"Washington County, Alabama",Washington,Alabama,64.4,67.38,1.15,-31.31,6.29,131.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4076,-88.2079,48345.97038470979,Barry Steam Plant,NA,0
1131,"Wilcox County, Alabama",Wilcox,Alabama,65,87.54,2.32,-27.41,6.53,124.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9893,-87.3082,127682.41881733642,Barry Steam Plant,NA,0
1133,"Winston County, Alabama",Winston,Alabama,109,166.7,1.15,-18.49,5.57,126.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1492,-87.3737,64182.52113816299,Miller Steam Plant,NA,0
12001,"Alachua County, Florida",Alachua,Florida,52.8,12.63,1.08,-43.99,7.71,97.52,2014,361,329,32,0,0,0,0,77,49,35,0,0,227,134,0,29.6747,-82.3577,9810.685336141612,Deerhaven Generating Station,NA,0
12003,"Baker County, Florida",Baker,Florida,97,41.25,1.22,-30.37,6.94,96.1,2014,362,347,15,0,0,0,0,74,46,33,0,0,362,0,0,30.3311,-82.2846,64183.01475605341,Deerhaven Generating Station,NA,0
12005,"Bay County, Florida",Bay,Florida,79.4,49.69,1.16,-43.62,5.72,68.44,2014,365,294,71,0,0,0,0,100,59,40,0,0,227,138,0,30.2652,-85.6203,243266.47975581468,Barry Steam Plant,NA,0
12007,"Bradford County, Florida",Bradford,Florida,76.8,29.01,1.15,-36.87,7.35,100.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.95,-82.1687,29946.929551788777,Deerhaven Generating Station,NA,0
12009,"Brevard County, Florida",Brevard,Florida,57.1,38.01,0.77,-41.96,5.46,82.67,2014,365,312,53,0,0,0,0,87,54,39,0,0,274,91,0,28.2937,-80.7323,47536.61779555447,Stanton Energy Center,NA,0
12011,"Broward County, Florida",Broward,Florida,39.7,21.83,0.92,-40.67,3.56,80.56,2014,365,315,48,2,0,0,0,115,53,38,0,23,210,132,0,26.1523,-80.4871,263220.4279955423,Big Bend Station,NA,0
12013,"Calhoun County, Florida",Calhoun,Florida,87.9,74.29,1.25,-34.49,5.74,80.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.4061,-85.1971,277439.2785951179,Barry Steam Plant,NA,0
12015,"Charlotte County, Florida",Charlotte,Florida,46.6,72.73,0.84,-35.28,4.76,70.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9055,-81.9123,109817.71612212062,Big Bend Station,NA,0
12017,"Citrus County, Florida",Citrus,Florida,74.7,136.73,0.83,-42.28,4.81,74.6,2014,120,113,7,0,0,0,0,80,47,26,0,0,0,120,0,28.8489,-82.4794,24677.49400747212,Crystal River Energy Complex,NA,0
12019,"Clay County, Florida",Clay,Florida,72.4,49.74,1,-24.36,7.11,121.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9831,-81.8579,35183.99999041126,Seminole Generating Station,NA,0
12021,"Collier County, Florida",Collier,Florida,30.1,-15.62,0.58,-64.42,4.41,53.2,2014,365,324,41,0,0,0,0,77,51,36,0,0,219,146,0,26.1108,-81.3475,213974.61353174623,Big Bend Station,NA,0
12023,"Columbia County, Florida",Columbia,Florida,89.4,51.08,1.48,-27.68,7.3,110.96,2014,338,301,37,0,0,0,0,80,51,34,0,0,299,39,0,30.2242,-82.6215,56258.83605696893,Deerhaven Generating Station,NA,0
12027,"DeSoto County, Florida",DeSoto,Florida,49.6,14.95,0.86,-55.06,4.43,34.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1863,-81.8094,89348.39581176666,Big Bend Station,NA,0
12029,"Dixie County, Florida",Dixie,Florida,86.5,65.04,1.13,-37.89,7.59,111.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6082,-83.1588,76454.43897389284,Deerhaven Generating Station,NA,0
12031,"Duval County, Florida",Duval,Florida,59.1,3.38,1.73,-23.67,6.05,81.35,2014,365,268,93,4,0,0,0,126,64,43,0,3,205,157,0,30.3316,-81.6708,14766.22009862821,Northside Generating Station,NA,0
