FIPS,Location,mortality_resp,perc_mortality_change_resp,mortality_ast,perc_mortality_change_ast,mortality_lung,perc_mortality_change_lung
12086,"Miami-Dade County, Florida",33.6,3.33,0.98,-49.41,4.23,86.53
12087,"Monroe County, Florida",39.1,-0.94,0.79,-61.58,4.48,63.56
12089,"Nassau County, Florida",70.0,27.4,1.03,-32.56,6.77,98.71
12091,"Okaloosa County, Florida",71.1,71.83,0.67,-39.11,5.74,111.37
12093,"Okeechobee County, Florida",76.5,49.18,0.82,-46.39,4.41,53.1
12095,"Orange County, Florida",45.4,-11.71,0.98,-43.32,5.46,81.12
12097,"Osceola County, Florida",52.0,11.39,0.86,-43.18,4.38,74.28
12099,"Palm Beach County, Florida",32.7,11.39,0.72,-53.88,3.37,55.55
12101,"Pasco County, Florida",65.6,85.49,0.85,-45.82,4.45,52.82
12103,"Pinellas County, Florida",48.4,29.39,0.83,-46.64,4.33,54.62
12105,"Polk County, Florida",55.8,34.55,0.96,-42.67,5.43,66.45
12107,"Putnam County, Florida",86.9,77.23,1.42,-30.66,5.50,81.29
12109,"Saint Johns County, Florida",48.7,7.03,0.80,-54.66,4.71,61.45
12111,"Saint Lucie County, Florida",52.6,61.7,0.88,-41.04,4.50,63.99
12113,"Santa Rosa County, Florida",74.3,79.33,0.89,-41.58,6.39,116.93
12115,"Sarasota County, Florida",36.0,6.64,0.65,-50.14,4.52,38.67
12117,"Seminole County, Florida",49.5,14.15,0.82,-48.85,5.24,89.97
12119,"Sumter County, Florida",31.3,-17.61,0.58,-67.17,4.10,44.81
12121,"Suwannee County, Florida",84.4,60.81,1.27,-41.39,7.48,110.25
12123,"Taylor County, Florida",75.4,44.94,1.08,-42.64,7.62,99.19
12125,"Union County, Florida",103.,25.73,1.64,-44.42,9.13,81.27
12127,"Volusia County, Florida",63.7,61.74,1.10,-33.05,4.98,77.12
12129,"Wakulla County, Florida",78.4,55.85,1.36,-38.63,7.18,100.23
12131,"Walton County, Florida",65.9,75.42,0.85,-39.43,5.33,93.72
12133,"Washington County, Florida",86.2,90.72,1.19,-31.85,6.85,104.77
