county,state,lat,long,distance_to_nearest_plant,name_of_nearest_plant
Oakland,Michigan,42.6604,-83.3858,74131.1713548436,Belle River Power Plant
Hennepin,Minnesota,45.0045,-93.477,53173.969591594796,Sherburne County Plant
Travis,Texas,30.3344,-97.782,109636.9723578526,Fayette Power Project
Cuyahoga,Ohio,41.4243,-81.6586,131702.9255134875,Sammis Plant
Allegheny,Pennsylvania,40.4688,-79.9812,55580.33875396215,Sammis Plant
Salt Lake,Utah,40.6673,-111.9236,140072.4600034467,Intermountain power station
Contra Costa,California,37.9192,-121.9277,526522.2220241425,North Valmy Station
Fairfax,Virginia,38.8368,-77.277,74605.13336044866,Brandon Shores Generating Station
Wake,North Carolina,35.7903,-78.6503,84672.04152897527,Mayo Generating Plant
Mecklenburg,North Carolina,35.2467,-80.8328,17163.574391254842,G.G. Allen Steam Plant
Montgomery,Maryland,39.1363,-77.2042,57928.0561839683,Brandon Shores Generating Station
Fulton,Georgia,33.7903,-84.467,56086.474710955896,Plant Bowen
Collin,Texas,33.188,-96.5724,147977.97982297887,Hugo Plant
Pima,Arizona,32.0974,-111.7899,178970.80451327682,Apache Generating Station
Honolulu,Hawaii,21.5008,-158.1053,21890.436504088884,AES Hawaii Generation Plant
Fresno,California,36.7582,-119.6493,506468.4061655817,North Valmy Station
St. Louis,Missouri,38.6407,-90.4434,28105.44007371635,Meramec Power Plant
Westchester,New York,41.1624,-73.7561,154203.77273445865,Northampton Generating Plant
Duval,Florida,30.3316,-81.6708,14766.22009862821,Northside Generating Station
Marion,Indiana,39.7817,-86.1385,106506.59605743921,Whitewater Valley Generating Station
Pinellas,Florida,27.92,-82.7256,34672.08486726184,Big Bend Station
Prince George's,Maryland,38.8295,-76.8473,47309.457090035365,Brandon Shores Generating Station
Fairfield,Connecticut,41.271,-73.3893,187221.45337015745,Northampton Generating Plant
Bergen,New Jersey,40.9597,-74.0742,122148.30066437244,Northampton Generating Plant
Erie,New York,42.764,-78.7323,239047.25691125193,Keystone Generating Station
Gwinnett,Georgia,33.9617,-84.0236,84821.59698191308,Plant Bowen
Milwaukee,Wisconsin,43.0072,-87.9669,21113.287471810876,South Oak Creek Plant
DuPage,Illinois,41.852,-88.0856,98833.1330391331,Michigan City Generating Station
Shelby,Tennessee,35.1842,-89.894,147977.17608936055,Independence Steam Station
Pierce,Washington,47.0241,-122.1046,64643.06823048504,Centralia Power Plant
Kern,California,35.3426,-118.7301,630031.5699748353,TS Power Plant
Hartford,Connecticut,41.8064,-72.7329,181128.01959678202,Merrimack Station
Denton,Texas,33.2055,-97.1168,189286.70664871708,Hugo Plant
Macomb,Michigan,42.6957,-82.9323,36940.520360860566,Belle River Power Plant
San Francisco,California,37.7558,-122.4449,573186.1433719618,North Valmy Station
Hidalgo,Texas,26.3969,-98.1812,257367.1347577506,San Miguel Electric Cooperative
New Haven,Connecticut,41.4106,-72.9321,227027.2825115699,Merrimack Station
El Paso,Texas,31.7686,-106.2348,347658.9331536112,Apache Generating Station
Middlesex,New Jersey,40.4392,-74.4117,94617.01180754983,Northampton Generating Plant
Worcester,Massachusetts,42.3514,-71.9077,94839.91281304618,Merrimack Station
Essex,New Jersey,40.7872,-74.247,104569.61834065417,Northampton Generating Plant
Montgomery,Pennsylvania,40.2108,-75.3673,54262.36006012771,Northampton Generating Plant
Baltimore,Maryland,39.4627,-76.6393,32635.52300951818,Brandon Shores Generating Station
Ventura,California,34.4561,-119.0836,733198.629012718,North Valmy Station
Hamilton,Ohio,39.1955,-84.5428,24274.138753937706,Miami Fort Station
Snohomish,Washington,48.0475,-121.6975,168170.5956991593,Centralia Power Plant
Multnomah,Oregon,45.5468,-122.4148,138676.2951921499,Centralia Power Plant
Fort Bend,Texas,29.5275,-95.7709,14323.466930345687,Parish Generating Station
Essex,Massachusetts,42.6732,-70.952,49012.253801198814,Schiller Station
Suffolk,Massachusetts,42.3333,-71.0719,88026.7216730607,Schiller Station
Oklahoma,Oklahoma,35.5515,-97.4072,105174.54509629386,Sooner Generating Station
Jefferson,Kentucky,38.1872,-85.6591,26594.743871647785,Mill Creek Station
San Joaquin,California,37.9348,-121.2714,482492.0204632048,North Valmy Station
Cobb,Georgia,33.9415,-84.5767,37794.33474368954,Plant Bowen
San Mateo,California,37.4229,-122.329,589450.8678392181,North Valmy Station
DeKalb,Georgia,33.7715,-84.2264,75273.93389824891,Plant Bowen
Monroe,New York,43.1464,-77.6961,245926.60852642075,Montour Steam Station
Lee,Florida,26.5779,-81.8337,146125.87262184874,Big Bend Station
